State_Code,Total_Orders,Total_Revenue,Revenue_Percentage
MH,904,17621084,17.75
UP,458,9264645,9.33
GJ,476,9137726,9.20
DL,249,5061953,5.10
BR,254,4862221,4.90
TR,187,3660657,3.69
TN,185,3428763,3.45
CH,95,1958697,1.97
MP,86,1885910,1.90
MZ,87,1874418,1.89
WB,90,1843374,1.86
OR,90,1811498,1.82
SK,91,1800539,1.81
LD,87,1780298,1.79
JK,84,1774526,1.79
PY,89,1763229,1.78
RJ,91,1758978,1.77
ML,84,1719848,1.73
UK,91,1718899,1.73
DH,91,1717079,1.73
AR,87,1711879,1.72
CG,88,1681290,1.69
JH,85,1680003,1.69
DD,86,1676324,1.69
AS,86,1665365,1.68
PB,91,1632722,1.64
HP,80,1603667,1.62
KA,85,1586442,1.60
AP,88,1576952,1.59
GA,84,1566175,1.58
NL,88,1534390,1.55
MN,83,1515852,1.53
KL,87,1488617,1.50
HR,84,1439191,1.45
AN,24,494832,0.50
